1.000000,21.200000,290.800000,312.000000,0.400000,0.400000,0.632456
2.000000,13.500000,170.750000,184.250000,3.774917,1.299038,3.491060
4.000000,5.800000,84.600000,90.400000,0.400000,0.489898,0.489898
6.000000,3.750000,77.000000,80.750000,0.433013,2.345208,2.165064
8.000000,3.000000,37.200000,40.200000,0.000000,15.380507,15.380507
10.000000,3.600000,40.600000,44.200000,2.727636,7.002857,7.138627
12.000000,2.000000,45.600000,47.600000,0.000000,2.244994,2.244994
14.000000,1.666667,30.333333,32.000000,0.471405,3.091206,2.828427
16.000000,1.400000,31.200000,32.600000,0.489898,4.354308,3.878144
18.000000,2.000000,30.000000,32.000000,0.000000,0.000000,0.000000
20.000000,1.400000,17.200000,18.600000,0.489898,3.370460,3.382307
22.000000,1.000000,17.200000,18.200000,0.000000,18.160000,18.160000
