p,tr,tc,tt
1.000000,21.200000,290.800000,312.000000
2.000000,13.500000,170.750000,184.250000
4.000000,5.800000,84.600000,90.400000
6.000000,3.750000,77.000000,80.750000
8.000000,3.000000,37.200000,40.200000
10.000000,3.600000,40.600000,44.200000
12.000000,2.000000,45.600000,47.600000
14.000000,1.666667,30.333333,32.000000
16.000000,1.400000,31.200000,32.600000
18.000000,2.000000,30.000000,32.000000
20.000000,1.400000,17.200000,18.600000
22.000000,1.000000,17.200000,18.200000
