p,tr,tc,tt
0.000000,0.160000,0.160000,0.400000
0.000000,14.250000,1.687500,12.187500
0.000000,0.160000,0.240000,0.240000
0.000000,0.187500,5.500000,4.687500
0.000000,0.000000,236.560000,236.560000
0.000000,7.440000,49.040000,50.960000
0.000000,0.000000,5.040000,5.040000
0.000000,0.222222,9.555556,8.000000
0.000000,0.240000,18.960000,15.040000
0.000000,0.000000,0.000000,0.000000
0.000000,0.240000,11.360000,11.440000
0.000000,0.000000,18.160000,18.160000
